Feature,Mean_Difference,Std_Difference,P_Value,Effect_Size,Significant
ConvexArea,-0.26742496988631553,-0.6333938217572056,0.00036082889248553686,0.2674230727731944,True
Area,-0.2664479706796499,-0.632243268152814,0.0003759843864897794,0.26661158658556705,True
Perimeter,-0.2561129478536076,-0.5178676678634068,0.0006367289394746501,0.25602816461157857,True
MajorAxisLength,-0.24475692411823585,-0.49578786229173055,0.001106250826229487,0.24450278456226213,True
EquivDiameter,-0.24258507113313302,-0.5388318082607284,0.0011852787959186113,0.24302817420446476,True
MinorAxisLength,-0.23542063353858525,-0.5636414191179288,0.0016119565742475034,0.23636918517203587,True
ShapeFactor4,0.18247784254201338,-0.2881095208952984,0.012589425832074902,0.18695679793079759,True
ShapeFactor1,0.14476832018471547,-0.43719063417087034,0.05377512108767332,0.14447037464217313,False
Roundness,0.13486790052514652,-0.30387865254863966,0.07097838489008637,0.13525267176774292,False
AspectRatio,-0.09147976341044264,-0.38924275102682215,0.22188569038004238,0.09148414540972073,False
Eccentricity,0.09012383141861312,-0.4361822445853355,0.2319715335536051,0.08951812390485839,False
Solidity,0.0828090329738777,-0.2570272747294361,0.24740475911558715,0.08662817918692045,False
Extent,0.08702398141084233,-0.12415285992563752,0.24863992894435943,0.08640546835913564,False
ShapeFactor2,0.027468519217219312,-0.41997707207879376,0.7125098657596778,0.02759355034485545,False
Compactness,0.025387336995695273,-0.3786601897100367,0.7351774808127165,0.025329186424007794,False
ShapeFactor3,0.0010330742519444628,-0.38210422311246284,0.9890275450423566,0.0010298182858965042,False
