Feature,Mean_Difference,Std_Difference,P_Value,Significant
Area,-0.26640109599432626,-0.64313315232369,0.00017401206736639312,True
Perimeter,-0.25313241145899257,-0.5165058701128871,0.00036550670645287757,True
MajorAxisLength,-0.24551243531822037,-0.49531783979060495,0.0005513538010015097,True
MinorAxisLength,-0.22838085718191675,-0.5883295561709014,0.0012390461449057362,True
AspectRatio,-0.10741808182468235,-0.39520233283514195,0.12996424104964202,False
Eccentricity,0.077824867612685,-0.44319841806829674,0.275906291039402,False
ConvexArea,-0.2665282547987343,-0.6420181383163737,0.00017442503901174958,True
EquivDiameter,-0.24045164779346898,-0.5507656778553958,0.0006914444529799535,True
Extent,0.0916875660293793,-0.11376760218856641,0.19944828946913915,False
Solidity,0.023169700201432865,0.06944584229360207,0.7326547896526654,False
Roundness,0.13782697207400982,-0.28123939192282366,0.05141997143304713,False
Compactness,0.03862670232836678,-0.3821615987271446,0.5869417063360767,False
ShapeFactor1,0.12916853012198126,-0.46942081913070866,0.06929989129927569,False
ShapeFactor2,0.03416634437007399,-0.4183990111431093,0.628503081778165,False
ShapeFactor3,0.014002370859895311,-0.385919773270314,0.8440084218802391,False
ShapeFactor4,0.11015417092276286,0.04956682057548045,0.11195464809147006,False
