feature,importance,std
room_type,0.6108053302028489,0.04387597852517858
longitude,0.08171961534654908,0.016946741658230242
availability_365,0.053325767213261877,0.005664087636780058
latitude,0.039740943649564285,0.007836466775792469
calculated_host_listings_count,0.011600135408596567,0.003204180042623184
name,0.009713645283894646,0.001940719813218147
neighbourhood_group latitude,0.007530694952945649,0.002595993076284004
latitude,0.007223494386127549,0.001897946898153814
latitude_div_longitude,0.005549078566982479,0.0021482075414661597
latitude_x_longitude,0.005208079052310977,0.0006619052413437671
longitude_binned,0.004623286416034045,0.004974426588944045
neighbourhood_group neighbourhood,0.003686756843948857,0.0010750048696913134
name host_name,0.002672453388314544,0.0005803113746775324
last_review,0.0020753937779954155,0.0010408045206523149
name latitude,0.0020018062198613904,0.0006159609394899576
name neighbourhood_group,0.0019921067705588103,0.00021617086032637255
name,0.0012962179107048667,0.00046237958548398124
host_name,0.0012360567599759343,0.0005084216434787332
host_name neighbourhood_group,0.0009732543932582827,0.00027186259872706797
host_name latitude,0.0009121527360943071,0.0007051234105035933
number_of_reviews,0.0007611522446252072,0.0030374764653658807
host_name neighbourhood,0.0006739158280769875,0.0006516318777551413
neighbourhood,0.0006264314173408892,0.00018109227396117077
neighbourhood_group,7.437834487555861e-05,4.498234144882544e-05
latitude_binned,2.003832696351182e-05,0.00025239255120808167
latitude_x_number_of_reviews,-0.00025202293837720544,0.000712300447696011
neighbourhood,-0.0002727777580767921,0.0007889926885856956
neighbourhood_group,-0.0003776200506856009,0.0002618300438275098
latitude_div_minimum_nights,-0.0003991226241468748,0.0012108575018232033
latitude_div_number_of_reviews,-0.0005339563041548035,0.0005270159928624416
host_name,-0.0006199389050268068,0.00032191783705513415
name neighbourhood,-0.000731189849405034,0.000576886623805556
neighbourhood latitude,-0.0007696178631806161,0.0012807631443695919
longitude_x_number_of_reviews,-0.0008012547977830798,0.0009216011281116712
longitude_div_number_of_reviews,-0.0011838407130309481,0.00044014279798123044
minimum_nights_x_number_of_reviews,-0.001617976882502936,0.000842359509596765
longitude_div_minimum_nights,-0.0016354023586057087,0.0010816777041815972
minimum_nights_div_number_of_reviews,-0.0016549958197159542,0.0005781027774126485
reviews_per_month,-0.0019250312043644247,0.003125639482506177
minimum_nights_binned,-0.0026795086157840762,0.0008738753218122852
latitude_x_minimum_nights,-0.0034669455858211905,0.0020350583437163004
longitude_x_minimum_nights,-0.006151561337777412,0.0014410101669149848
minimum_nights,-0.006909819286801811,0.004982095858163173
