Feature,Feature_Name,Mean_Difference,P_Value,Effect_Size,Significant
Feature_4,Unknown_4,0.48147899191108234,2.4850454469692515e-30,0.4901314703458452,True
Feature_0,Unknown_0,0.39089275674643176,8.156861923977747e-21,0.399490332688294,True
Feature_9,Unknown_9,0.3238297062219452,7.980872476197839e-15,0.3309702267345809,True
Feature_10,Unknown_10,0.3186217634828217,1.9549596830358428e-14,0.3260565338231949,True
Feature_2,Unknown_2,0.29602518632343316,2.5080342726847205e-12,0.29813338408559714,True
Feature_8,Unknown_8,0.29111052064159,6.7502734449360395e-12,0.2921459269908243,True
Feature_3,Unknown_3,0.26465450433630366,4.121960404919968e-10,0.2658604185076052,True
Feature_1,Unknown_1,0.23636734072898824,2.333796545509296e-08,0.2374737335772664,True
Feature_12,Unknown_12,0.21158437796715204,5.979131516609853e-07,0.21215373651124653,True
Feature_7,Unknown_7,-0.11262852345481321,0.007007344964658477,0.11445466570386015,True
Feature_5,Unknown_5,0.09459359683185253,0.026196009326976064,0.09435702024408431,True
Feature_11,Unknown_11,-0.05178052909594937,0.22312854041545957,0.051688532077785385,False
Feature_6,Unknown_6,-0.021263118637890148,0.6109914417294953,0.02157946043339483,False
