,XGBoost_permutation,XGBoost_builtin,XGBoost_shap,Improved FT-Transformer_permutation,Improved FT-Transformer_shap,SAINT_permutation,SAINT_shap
instant,0.07679008440500304,0.043646768,0.116224155,0.015316100703755277,0.043658216935805995,0.005385690930294323,0.039289608607853195
season,0.0054753046832910265,0.05234581,0.03025546,0.014209676914904512,0.05593940057068856,0.018090142198202024,0.06748565397367917
yr,0.011228831411752571,0.17248255,0.052743673,0.03195132933223134,0.09681035525913875,0.04845672671697926,0.12678606508179802
mnth,0.0024143458646860745,0.013737497,0.0089560095,0.012523210360327277,0.03076306458015748,0.003180696854700437,0.03191391087394029
hr,0.7140622675208186,0.20619479,0.42236245,0.7095662846655728,0.41770721078867923,0.6557784947797987,0.3169247311531474
holiday,0.00017973327395746452,0.010194401,0.0018733112,0.0052601184785241815,0.0021167128066684826,0.0009985147753710539,0.018400802631533
weekday,0.011518534139304338,0.015807424,0.026659539,0.013257975873158303,0.02437040984893343,0.007516584618564389,0.03246519882922194
workingday,0.09723516957427443,0.28226927,0.082484536,0.11486159382597066,0.09088984787071873,0.17358820600304575,0.08136311696082817
weathersit,0.009809616131910906,0.03137402,0.03396569,0.017143380677783822,0.032947280624098275,0.017830246268114136,0.03938814655821413
temp,0.03768319505175352,0.08129045,0.11529641,0.02905753984749625,0.08308175780647198,0.031972071136622246,0.10321889569034867
atemp,0.012176469025382733,0.04330884,0.044153582,0.016908216180963383,0.06314344576886358,0.013384348621962049,0.06266013552495535
hum,0.021168351991407288,0.039911255,0.055516638,0.016150995275598577,0.051735369675007185,0.02174945577785137,0.06062319578460565
windspeed,0.0002580969264579119,0.007436883,0.009508654,0.003793577863713808,0.006836927464768256,0.002068821318494404,0.01948053832987492
